run,checkpoint,mean_displacement,mean_coherence,degraded_count
raw_sgmd_lam0p1,25,2.030809,1.888482,3
raw_sgmd_lam0p1,50,0.224814,6.871822,2
raw_sgmd_lam0p1,75,0.151014,7.085317,1
raw_sgmd_lam0p1,100,0.116994,3.891693,2
fnorm_lam0p1,5,0.073900,2.380793,2
fnorm_lam0p1,10,1.795996,4.373010,3
fnorm_lam0p1,15,0.000149,6.343945,3
fnorm_lam0p1,20,1.085332,4.702589,1
fnorm_lam0p1,25,0.731591,4.578916,0
fnorm_lam0p1,30,0.607628,7.180474,0
fnorm_lam0p1,35,1.296760,7.098652,0
fnorm_lam0p1,40,0.976409,7.325770,0
fnorm_lam0p1,45,0.838565,7.363833,1
fnorm_lam0p1,50,1.276187,7.355291,0
fnorm_lam0p05,10,1.091510,6.355175,2
fnorm_lam0p05,20,0.739730,6.798130,2
fnorm_lam0p05,30,0.902615,4.780554,1
fnorm_lam0p05,40,1.717052,7.350588,0
fnorm_lam0p05,50,0.735094,6.834893,0
fnorm_lam0p2,10,1.187784,6.243109,2
fnorm_lam0p2,20,2.649798,6.993135,1
fnorm_lam0p2,30,1.725177,7.203312,1
fnorm_lam0p2,40,2.009367,7.324389,1
fnorm_lam0p2,50,1.693540,7.403891,0
